transaction_id,gl_account,amount,period,scenario,entity,business_unit,date,counterparty,labels
prior_year-4000-P01-1,4000,230000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Client billings,
prior_year-4100-P01-1,4100,45000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Intercompany,
prior_year-5000-P01-1,5000,-10000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Atlas Digital Ltd,
prior_year-5100-P01-1,5100,-8000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,BizDev programs,
prior_year-5200-P01-1,5200,-7000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Sundry travel,
prior_year-5300-P01-1,5300,-5000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,MediaBuy Co,
prior_year-6000-P01-1,6000,-120000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Payroll,
prior_year-6100-P01-1,6100,-15000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Office expenses,
prior_year-6200-P01-1,6200,-25000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Partner draws,
prior_year-6300-P01-1,6300,-8000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Project costs,
prior_year-7000-P01-1,7000,-18000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Admin payroll,
prior_year-7100-P01-1,7100,-3000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Counsel LLP,
prior_year-7200-P01-1,7200,-6000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,CloudCo,
prior_year-7300-P01-1,7300,-12000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Landlord SA,
prior_year-8000-P01-1,8000,-5000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Depreciation,
prior_year-8100-P01-1,8100,-1500.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Bank,
prior_year-8200-P01-1,8200,-8000.00,1,prior_year,FIRM,CONSULTING,2025-01-15,Tax authority,
prior_year-4000-P02-1,4000,230000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Client billings,
prior_year-4100-P02-1,4100,45000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Intercompany,
prior_year-5000-P02-1,5000,-10000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Atlas Digital Ltd,
prior_year-5100-P02-1,5100,-8000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,BizDev programs,
prior_year-5200-P02-1,5200,-7000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Sundry travel,
prior_year-5300-P02-1,5300,-5000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,MediaBuy Co,
prior_year-6000-P02-1,6000,-120000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Payroll,
prior_year-6100-P02-1,6100,-15000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Office expenses,
prior_year-6200-P02-1,6200,-25000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Partner draws,
prior_year-6300-P02-1,6300,-8000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Project costs,
prior_year-7000-P02-1,7000,-18000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Admin payroll,
prior_year-7100-P02-1,7100,-3000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Counsel LLP,
prior_year-7200-P02-1,7200,-6000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,CloudCo,
prior_year-7300-P02-1,7300,-12000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Landlord SA,
prior_year-8000-P02-1,8000,-5000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Depreciation,
prior_year-8100-P02-1,8100,-1500.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Bank,
prior_year-8200-P02-1,8200,-8000.00,2,prior_year,FIRM,CONSULTING,2025-02-15,Tax authority,
prior_year-4000-P03-1,4000,230000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Client billings,
prior_year-4100-P03-1,4100,45000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Intercompany,
prior_year-5000-P03-1,5000,-10000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Atlas Digital Ltd,
prior_year-5100-P03-1,5100,-8000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,BizDev programs,
prior_year-5200-P03-1,5200,-7000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Sundry travel,
prior_year-5300-P03-1,5300,-5000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,MediaBuy Co,
prior_year-6000-P03-1,6000,-120000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Payroll,
prior_year-6100-P03-1,6100,-15000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Office expenses,
prior_year-6200-P03-1,6200,-25000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Partner draws,
prior_year-6300-P03-1,6300,-8000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Project costs,
prior_year-7000-P03-1,7000,-18000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Admin payroll,
prior_year-7100-P03-1,7100,-3000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Counsel LLP,
prior_year-7200-P03-1,7200,-6000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,CloudCo,
prior_year-7300-P03-1,7300,-12000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Landlord SA,
prior_year-8000-P03-1,8000,-5000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Depreciation,
prior_year-8100-P03-1,8100,-1500.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Bank,
prior_year-8200-P03-1,8200,-8000.00,3,prior_year,FIRM,CONSULTING,2025-03-15,Tax authority,
prior_year-4000-P04-1,4000,230000.00,4,prior_year,FIRM,CONSULTING,2025-04-15,Client billings,
prior_year-4100-P04-1,4100,45000.00,4,prior_year,FIRM,CONSULTING,2025-04-15,Intercompany,
prior_year-5000-P04-1,5000,-10000.00,4,prior_year,FIRM,CONSULTING,2025-04-15,Atlas Digital Ltd,
prior_year-5100-P04-1,5100,-8000.00,4,prior_year,FIRM,CONSULTING,2025-04-15,BizDev programs,
prior_year-5200-P04-1,5200,-7000.00,4,prior_year,FIRM,CONSULTING,2025-04-15,Sundry travel,
prior_year-5300-P04-1,5300,-5000.00,4,prior_year,FIRM,CONSULTING,2025-04-15,MediaBuy Co,
prior_year-6000-P04-1,6000,-120000.00,4,prior_year,FIRM,CONSULTING,2025-04-15,Payroll,
